Long,Lat,Junction_ID
-79.3808365,43.7498245,637
-79.3860703,43.7948723,638
-79.16436,43.7682152,639
-79.2765808,43.6906433,640
-79.3757706,43.6531715,641
-79.4000473,43.7228165,642
-79.1994705,43.7654495,643
-79.2533875,43.7258949,644
-79.5044022,43.705162,645
-79.6057281,43.7289314,646
-79.5012589,43.752636,647
-79.397377,43.6680336,648
-79.1835556,43.8056183,649
-79.5173416,43.6946144,650
-79.4171982,43.6670837,651
-79.2468491,43.7051048,652
-79.3919067,43.6416435,653
-79.3970642,43.6829872,654
-79.3584976,43.7606544,655
-79.465889,43.6654282,656
-79.3430862,43.679306,657
-79.3824234,43.6517639,658
-79.4502792,43.695694,659
-79.2186813,43.7698135,660
-79.3989868,43.6654396,661
-79.5005188,43.7622452,662
-79.4327621,43.6697044,663
-79.3758545,43.6664886,664
-79.515686,43.7491493,665
-79.3981476,43.6462326,666
-79.258522,43.752861,667
-79.3821182,43.6590996,668
-79.3366394,43.7914505,669
-79.4146652,43.6605263,670
-79.4313507,43.6577377,671
-79.3118439,43.6834259,672
-79.2373123,43.7723999,673
-79.3050842,43.8241692,674
-79.4895325,43.6869965,675
-79.2923279,43.7459068,676
-79.5457153,43.7212753,677
-79.2912598,43.672554,678
-79.4390869,43.6770935,679
-79.3600845,43.6770477,680
-79.1527786,43.797863,681
-79.5042496,43.7044754,682
-79.3471375,43.7354164,683
-79.302269,43.7694817,684
-79.225975,43.7946625,685
-79.5147705,43.7672119,686
-79.4860992,43.6695061,687
-79.6142807,43.7454948,688
-79.3683014,43.6650581,689
-79.4122086,43.7665672,690
-79.3974762,43.7069244,691
-79.3136063,43.7813339,692
-79.4120712,43.703846,693
-79.3018341,43.6881485,694
-79.5892334,43.7410965,695
-79.2933197,43.8221397,696
-79.1888199,43.7685089,697
-79.5196915,43.7659111,698
-79.2880173,43.8072243,699
-79.5124817,43.6855164,700
-79.3942947,43.6435928,701
-79.3908768,43.6994972,702
-79.2300797,43.7681885,703
-79.5999222,43.7439842,704
-79.3171082,43.6988525,705
-79.2179184,43.8228722,706
-79.2852783,43.6837769,707
-79.4152069,43.7735481,708
-79.1896133,43.7676544,709
-79.3303757,43.7165794,710
-79.3823166,43.7744255,711
-79.1937714,43.7630692,712
-79.2332535,43.7517357,713
-79.4384155,43.698246,714
-79.4139328,43.6507072,715
-79.3318024,43.7522316,716
-79.4980621,43.7786751,717
-79.2927322,43.8238297,718
-79.4699173,43.6372108,719
-79.3006058,43.6943817,720
